record_id,client_id,client_name,client_type,region,relationship_manager,onboarding_date,aum_inr_crores,portfolio_count,kyc_status,kyc_expiry,risk_rating,status,last_reviewed,days_since_review,email,contact_phone,data_complete,validated
CLT-REC-00001,CLT0014,Temasek Holdings,Sovereign,APAC,Lim Boon Keng,2016-10-08,8421.14,19,Verified,2026-11-07,Low,Active,2024-04-25,396,ops@temasekhol.com,+91-9353578283,True,True
CLT-REC-00002,CLT0006,LIC of India,Insurance,APAC,Arjun Nair,2016-09-30,33552.47,19,Expired,2026-04-20,Low,Active,2024-10-13,225,ops@licofindia.com,+91-9956177341,True,True
CLT-REC-00003,CLT0015,Norges Bank Investment Mgmt,Sovereign,EMEA,Erik Larsen,2018-01-17,38756.54,11,Verified,2026-07-19,Low,Active,2024-09-03,265,ops@norgesbank.com,+91-8494905482,True,True
CLT-REC-00004,CLT0013,GIC Private Ltd Singapore,Sovereign,APAC,Chen Wei,2017-05-22,23121.99,3,Verified,2025-09-09,High,Active,2025-01-26,120,ops@gicprivate.com,+91-7945537901,True,True
CLT-REC-00005,CLT0015,Norges Bank Investment Mgmt,Sovereign,EMEA,Erik Larsen,2018-01-17,29178.5,8,Verified,2026-03-08,Medium,Active,2024-01-17,495,ops@norgesbank.com,+91-8341350619,True,True
CLT-REC-00006,CLT0004,HDFC Pension Fund,Pension Fund,APAC,Vikram Singh,2017-11-05,16786.98,8,Verified,2026-04-04,High,Active,2024-03-26,426,ops@hdfcpensio.com,+91-7964013375,True,True
CLT-REC-00007,CLT0015,Norges Bank Investment Mgmt,Sovereign,EMEA,Erik Larsen,2018-01-17,40752.88,14,Verified,2027-01-14,Low,Active,2024-05-16,375,ops@norgesbank.com,+91-7507303434,True,True
CLT-REC-00008,CLT0009,Emirates NBD Asset Mgmt,Institutional,EMEA,Omar Al Rashid,2018-03-20,32780.35,18,Verified,2027-02-06,Medium,Active,2024-11-11,196,ops@emiratesnb.com,+91-8287023500,False,True
CLT-REC-00009,CLT0014,Temasek Holdings,Sovereign,APAC,Lim Boon Keng,2016-10-08,43744.78,2,Verified,2026-05-27,Medium,Active,2024-09-09,259,ops@temasekhol.com,+91-9471049536,True,True
CLT-REC-00010,CLT0011,BlackRock India Fund,Hedge Fund,Americas,James Mitchell,2020-02-28,14558.64,18,Verified,2026-05-21,High,Active,2024-07-26,304,ops@blackrocki.com,+91-7118262975,True,True
CLT-REC-00011,CLT0007,ICICI Prudential AMC,AMC,APAC,Sunita Joshi,2019-12-01,33796.63,16,Pending,2026-08-22,Low,Active,2024-04-24,397,ops@iciciprude.com,,False,False
CLT-REC-00012,CLT0008,Nippon India MF,AMC,APAC,Deepak Rao,2020-06-14,42528.17,14,Verified,2027-04-30,Medium,Active,2024-11-07,200,ops@nipponindi.com,+91-9130964494,True,True
CLT-REC-00013,CLT0013,GIC Private Ltd Singapore,Sovereign,APAC,Chen Wei,2017-05-22,27628.92,13,Verified,2027-04-02,Medium,Active,2024-07-22,308,ops@gicprivate.com,+91-7237591376,True,False
CLT-REC-00014,CLT0004,HDFC Pension Fund,Pension Fund,APAC,Vikram Singh,2017-11-05,32514.87,5,Verified,2025-05-12,High,Active,2024-11-02,205,ops@hdfcpensio.com,+91-9192095663,True,True
