break_id,client_id,client_name,security_id,ticker,security_name,break_date,source_system,internal_system,source_quantity,internal_quantity,break_quantity,break_value_inr,break_pct,severity,rag_status,status,region,asset_class,sector,raised_date,sla_hours,sla_breached,assigned_to,root_cause
BRK-0001,CLT0008,Nippon India MF,INE213A01029,MARUTI,Maruti Suzuki India Ltd,2024-08-02,Bloomberg AIM,Charles River,61069,69118,8049,103027200,13.181,High,Red,In Progress,APAC,Equity,Auto,2024-08-02,8,False,Recon Team,System Sync Delay
BRK-0002,CLT0006,LIC of India,INE414G01012,ADANIENT,Adani Enterprises Ltd,2025-01-13,Custodian Report,Charles River,46504,40686,5818,14254100,12.511,High,Red,Open,APAC,Equity,Conglomerate,2025-01-13,24,False,Recon Team,System Sync Delay
BRK-0003,CLT0008,Nippon India MF,INE117A01022,BHARTIARTL,Bharti Airtel Ltd,2024-12-01,Broker Confirm,Charles River,13079,13270,191,265490,1.465,Low,Green,Open,APAC,Equity,Telecom,2024-12-01,8,False,Recon Team,Price Variance
BRK-0004,CLT0003,SBI Life Insurance,INE117A01022,BHARTIARTL,Bharti Airtel Ltd,2025-04-23,Custodian Report,In-house,76289,68819,7470,10383300,9.79,High,Red,In Progress,APAC,Equity,Telecom,2025-04-23,8,False,Client Services,Price Variance
BRK-0005,CLT0011,BlackRock India Fund,INE585B01010,AXISBANK,Axis Bank Ltd,2024-07-21,Bloomberg AIM,Simcorp,60513,66296,5783,6072150,9.558,High,Red,In Progress,Americas,Equity,Banking,2024-07-21,8,False,Data Ops Team,System Sync Delay
BRK-0006,CLT0004,HDFC Pension Fund,INE009A01021,INFY,Infosys Ltd,2025-05-08,Custodian Report,In-house,69724,75733,6009,8893320,8.62,High,Red,Open,APAC,Equity,IT,2025-05-08,48,False,Data Ops Team,System Sync Delay
BRK-0007,CLT0005,Kotak Mahindra AMC,INE031A01017,POWERGRID,Power Grid Corp of India,2024-07-14,Bloomberg AIM,Charles River,46302,48046,1744,549360,3.767,Medium,Amber,Resolved,APAC,Equity,Utilities,2024-07-14,4,False,Escalation Desk,Trade Timing
BRK-0008,CLT0006,LIC of India,INE361B01024,HCLTECH,HCL Technologies Ltd,2025-05-19,Custodian Report,Charles River,7422,7844,422,666760,5.692,Medium,Amber,Open,APAC,Equity,IT,2025-05-19,8,False,Client Services,System Sync Delay
BRK-0009,CLT0001,Tata Investment Corp,INE721A01013,SUNPHARMA,Sun Pharmaceutical Ltd,2024-09-23,Broker Confirm,Charles River,94286,89408,4878,8195040,5.174,Medium,Amber,Open,APAC,Equity,Pharma,2024-09-23,48,False,Escalation Desk,Corporate Action
BRK-0010,CLT0006,LIC of India,INE001A01036,SBIN,State Bank of India,2025-02-01,Custodian Report,Charles River,65131,72437,7306,5698680,11.218,High,Red,Resolved,APAC,Equity,Banking,2025-02-01,48,True,Escalation Desk,Trade Timing
